Area (km²),Density (per km²),Growth Rate,World Population Percentage
652230,63.0587,1.0257,0.52
28748,98.8702,0.9957,0.04
2381741,18.8531,1.0164,0.56
199,222.4774,0.9831,0
468,170.5641,1.01,0
1246700,28.5466,1.0315,0.45
91,174.2527,1.0066,0
442,212.1335,1.0058,0
2780400,16.3683,1.0052,0.57
29743,93.4831,0.9962,0.03
180,591.3611,0.9991,0
7692024,3.4032,1.0099,0.33
83871,106.5877,1.002,0.11
86600,119.6082,1.0044,0.13
13943,29.4043,1.0051,0.01
765,1924.4876,1.0061,0.02
147570,1160.035,1.0108,2.15
430,654.9651,1.0015,0
207600,45.9295,0.9955,0.12
30528,381.8111,1.0038,0.15
22966,17.6466,1.0131,0.01
112622,118.5635,1.0274,0.17
54,1188.5926,1,0
38394,20.3796,1.0064,0.01
1098581,11.1272,1.012,0.15
51209,63.1437,0.9886,0.04
582000,4.5194,1.0162,0.03
8515767,25.2841,1.0046,2.7
151,207.3179,1.0059,0
5765,77.8841,1.0081,0.01
110879,61.1654,0.9849,0.09
272967,83.0641,1.0259,0.28
27834,463.0874,1.027,0.16
181035,92.6221,1.0108,0.21
475442,58.7128,1.0263,0.35
9984670,3.8513,1.0078,0.48
4033,147.0739,1.0089,0.01
264,260.25,1.0084,0
622984,8.9555,1.0224,0.07
1284000,13.8032,1.0316,0.22
756102,25.9274,1.0057,0.25
9706961,146.8933,1,17.88
1141748,45.4339,1.0069,0.65
1862,449.3953,1.0184,0.01
236,72.0805,1.0005,0
51100,101.3861,1.0052,0.06
56594,71.2153,0.9927,0.05
109884,102.0366,0.9961,0.14
444,430.5473,1.0043,0
9251,135.2814,1.0059,0.02
78865,133.0627,0.9984,0.13
43094,136.4984,1.0048,0.07
23200,48.3125,1.0138,0.01
751,96.8535,1.0045,0
48671,230.7087,1.01,0.14
2344858,42.2244,1.0325,1.24
276841,65.0229,1.0114,0.23
1002450,110.7188,1.0158,1.39
21041,301.145,1.0035,0.08
28051,59.7094,1.0247,0.02
117600,31.3268,1.0176,0.05
45227,29.3201,0.998,0.02
17364,69.2047,1.0079,0.02
1104300,111.7268,1.0257,1.55
12173,0.3105,1.0043,0
1393,38.112,1.0038,0
18272,50.8847,1.0056,0.01
338424,16.3722,1.0009,0.07
551695,117.1419,1.0015,0.81
83534,3.6459,1.0239,0
4167,73.5011,1.0074,0
267668,8.9252,1.0204,0.03
10689,253.1567,1.025,0.03
69700,53.7214,0.9964,0.05
357114,233.4544,0.9995,1.05
238533,140.3406,1.0196,0.42
6,5441.5,0.9994,0
131990,78.68,0.9942,0.13
2166086,0.0261,1.004,0
344,364.6453,1.0066,0
1628,243.0909,0.9992,0
549,312.8852,1.0073,0
108889,163.8725,1.0134,0.22
78,811.5513,1.0037,0
245857,56.3716,1.0242,0.17
36125,58.2856,1.0218,0.03
214969,3.7621,1.0052,0.01
27750,417.4773,1.012,0.15
112492,92.7431,1.015,0.13
1104,6783.3922,0.9992,0.09
93028,107.1431,1.0265,0.12
103000,3.6204,1.0069,0
3287590,431.0675,1.0068,17.77
1904569,144.6529,1.0064,3.45
1648195,53.7258,1.0071,1.11
438317,101.5158,1.0221,0.56
70273,71.4799,1.0073,0.06
572,147.7605,1.003,0
20770,435.1617,1.0155,0.11
301336,195.9191,0.9966,0.74
322463,87.3295,1.0248,0.35
10991,257.2447,0.9999,0.04
377930,327.9753,0.9947,1.55
116,954.9828,1.0106,0
89342,126.3221,1.0123,0.14
2724900,7.1188,1.0105,0.24
580367,93.0919,1.0193,0.68
811,161.815,1.0183,0
